ResourceID,MONNO,MONNO_TYPE,MONNAMEQ,NAME_TYPE,TPQ,TPQ_TYPE,TPQPREC_Valueid,TAQ,TAQ_TYPE,TAQPREC_Valueid,DESCRIPTION,DESCRIPTION_TYPE,WKT,DES_Valueid,REFERENCE,TYPE_Valueid,CP_Valueid
00000000-0000-0000-0000-00000000lhd1,1,838a206c-7975-4695-a2ae-1575b1e07984,"""Prehistoric building, 181-183 High Street""",81dd62d2-6701-4195-b74b-8057456bba4b,-0100,cf4d3fee-1c66-499c-a087-13eb3a069807,a65753a5-c15b-4d07-a33b-459418b5156b,0060,f21fd154-a96d-4b50-9fa9-dbab3c54d441,a65753a5-c15b-4d07-a33b-459418b5156b,,eb3bd719-c473-40b8-bf0a-cdb9ed89aba3,POINT (-0.541732301953314 53.2267920320966),,,c576bf4a-b5ba-4ba7-adac-57a5937a3b89,
00000000-0000-0000-0000-00000000lhd1,,,,,,,,,,,,,,,,,ed178863-0fc9-4496-99c7-58fe5ed59093
00000000-0000-0000-0000-00000000lhd1,,,,,,,,,,,,,,,,,ca94f12a-7acc-4289-9d54-b993535b3b8b
00000000-0000-0000-0000-00000000lhd1,,,,,,,,,,,"""Structural features 2. Roadside timber structure indicated by the presence of parallel slots and post holes.""",eb3bd719-c473-40b8-bf0a-cdb9ed89aba3,,,,,
00000000-0000-0000-0000-00000000lhd2,2,838a206c-7975-4695-a2ae-1575b1e07984,"""Prehistoric building, 181-183 High Street""",81dd62d2-6701-4195-b74b-8057456bba4b,-0100,cf4d3fee-1c66-499c-a087-13eb3a069807,a65753a5-c15b-4d07-a33b-459418b5156b,0060,f21fd154-a96d-4b50-9fa9-dbab3c54d441,a65753a5-c15b-4d07-a33b-459418b5156b,,eb3bd719-c473-40b8-bf0a-cdb9ed89aba3,POINT (-0.542000315593716 53.2268402605504),,,c576bf4a-b5ba-4ba7-adac-57a5937a3b89,
00000000-0000-0000-0000-00000000lhd2,,,,,,,,,,,,,,,,,ed178863-0fc9-4496-99c7-58fe5ed59093
00000000-0000-0000-0000-00000000lhd2,,,,,,,,,,,,,,,,,ca94f12a-7acc-4289-9d54-b993535b3b8b
00000000-0000-0000-0000-00000000lhd2,,,,,,,,,,,"""Structural features 1. Cut features including gullies, pits, post holes and a circular eavesdrop gully suggested a round timber building 5-7m in diameter. Pits and a hearth may have been associated. There may have been more than building, as the post holes suggested a rectilinear building""",eb3bd719-c473-40b8-bf0a-cdb9ed89aba3,,,,,
00000000-0000-0000-0000-00000000lhd3,3,838a206c-7975-4695-a2ae-1575b1e07984,"""Early Roman buildings, 181-183 High Street""",81dd62d2-6701-4195-b74b-8057456bba4b,0060,cf4d3fee-1c66-499c-a087-13eb3a069807,a65753a5-c15b-4d07-a33b-459418b5156b,0120,f21fd154-a96d-4b50-9fa9-dbab3c54d441,a65753a5-c15b-4d07-a33b-459418b5156b,,eb3bd719-c473-40b8-bf0a-cdb9ed89aba3,POINT (-0.54182214864947 53.2267931314937),,,c576bf4a-b5ba-4ba7-adac-57a5937a3b89,
00000000-0000-0000-0000-00000000lhd3,,,,,,,,,,,,,,,,,ca94f12a-7acc-4289-9d54-b993535b3b8b
00000000-0000-0000-0000-00000000lhd3,,,,,,,,,,,"""Structural features 3 in two phases. Occupation debris, slots, gullies, floors, post holes, post pits, wall-plaster etc. There was no clear evidence for arrangement, but structures fronting the main street were suggested by the location of the floors.""",eb3bd719-c473-40b8-bf0a-cdb9ed89aba3,,,,,
